%  label: Fitness-sharing, 17/03/26 02-06-08
%  population_size: 2048
%  mutation_rate: 0.45
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuck_rate: 0.15
%  threads: 4
%  num_demes: 1
%  migration: 0.05
%  use_viscosity: true
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: true
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
51,0,0.053222656,0.56024593,0.6666671,0.4444447,0.6666667,0.2173913,0,0.98148227,0.6666667,1,16.291992,6,0.9550781
52,0,0.05419922,0.5590008,0.6666671,0.4444447,0.6666667,0.21505377,0,0.98148227,0.6666667,1,16.293457,6,0.95458984
53,0,0.05517578,0.55778205,0.6666671,0.4444447,0.6666667,0.21276596,0,0.98148227,0.6666667,1,16.280762,6,0.95410156
54,0,0.056152344,0.5623726,0.66666716,0.4444447,0.6666667,0.22105263,0,0.98148227,0.6666667,1,16.274414,6,0.9536133
55,0,0.057128906,0.5599412,0.6666671,0.4444447,0.6666667,0.21649484,0,0.98148227,0.6666667,1,16.275879,6,0.9526367
56,0,0.05810547,0.5631662,0.66666704,0.4444447,0.6666667,0.22222222,0,0.98148227,0.6666667,1,16.27246,6,0.95166016
57,0,0.05908203,0.5631662,0.66666704,0.4444447,0.6666667,0.22222222,0,0.98148227,0.6666667,1,16.294922,6,0.95166016
58,0,0.060058594,0.5631662,0.66666704,0.4444447,0.6666667,0.22222222,0,0.98148227,0.6666667,1,16.288086,6,0.95166016
59,0,0.061035156,0.56081533,0.666667,0.4444447,0.6666667,0.21782178,0,0.98148227,0.6666667,1,16.293457,6,0.9506836
60,0,0.06201172,0.55734754,0.6648547,0.3200001,0.48,0.21359223,0,0.3200001,0.48,0,16.276367,13,0.94970703
61,0,0.0625,0.55519706,0.66488916,0.3200001,0.48,0.20952381,0,0.3200001,0.48,0,16.284668,13,0.94873047
62,0,0.06298828,0.55312693,0.66492236,0.3200001,0.48,0.20560747,0,0.3200001,0.48,0,16.286133,13,0.9477539
63,0,0.06298828,0.5511328,0.6649543,0.3200001,0.48,0.20183486,0,0.3200001,0.48,0,16.282227,13,0.94677734
64,0,0.063964844,0.554146,0.6649851,0.3200001,0.48,0.2072072,0,0.3200001,0.48,0,16.27295,13,0.9458008
65,0,0.064941406,0.5531665,0.6650001,0.3200001,0.48,0.20535715,0,0.3200001,0.48,0,16.259766,13,0.9453125
66,0,0.06591797,0.55125916,0.6650293,0.3200001,0.48,0.20175439,0,0.3200001,0.48,0,16.257324,13,0.94433594
67,0,0.067871094,0.54941756,0.6650575,0.3200001,0.48,0.19827586,0,0.3200001,0.48,0,16.250977,13,0.9433594
68,0,0.068847656,0.54763836,0.6650847,0.3200001,0.48,0.19491525,0,0.3200001,0.48,0,16.240723,13,0.9423828
69,0,0.06982422,0.5467711,0.665098,0.3200001,0.48,0.19327731,0,0.3200001,0.48,0,16.25,13,0.94189453
70,0,0.071777344,0.55047065,0.665111,0.3200001,0.48,0.2,0,0.3200001,0.48,0,16.260742,13,0.94140625
71,0,0.072753906,0.5487326,0.6651365,0.3200001,0.48,0.19672132,0,0.3200001,0.48,0,16.2583,13,0.9404297
72,0,0.07373047,0.5470505,0.66516113,0.3200001,0.48,0.19354838,0,0.3200001,0.48,0,16.248047,13,0.9394531
73,0,0.07470703,0.5462296,0.6651732,0.3200001,0.48,0.192,0,0.3200001,0.48,0,16.269531,13,0.93896484
74,0,0.075683594,0.5454218,0.665185,0.3200001,0.48,0.1904762,0,0.3200001,0.48,0,16.277344,13,0.93847656
75,0,0.076660156,0.5480996,0.6652081,0.3200001,0.48,0.1953125,0,0.3200001,0.48,0,16.27295,13,0.9375
