%  label: Unnamed trial, 17/03/22 02-30-00
%  population_size: 1024
%  mutation_rate: 0.45
%  max_generations: 200000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0
%  cuck_rate: 0.15
%  threads: 8
%  num_demes: 4
%  migration: 0.1
%  use_viscosity: true
%  outregs: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd

ITERATION,AVG-GEN,AVG-FIT,AVG-CRASH,BEST-GEN,BEST-FIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
233,0.625,0.6235865,0.6,0,0.0069491905,0,16.916016,22,0.7167969
234,0.625,0.6243944,0.60273975,0,0.0069491905,0,16.910156,22,0.71484375
235,0.62890625,0.62515056,0.60544217,0,0.0069491905,0,16.881836,22,0.7128906
236,0.6308594,0.62554514,0.60338986,0,0.0069491905,0,16.88086,22,0.71191406
237,0.6347656,0.62481785,0.6026936,0,0.0069491905,0,16.893555,22,0.70996094
238,0.63671875,0.6252095,0.60402685,0,0.0069491905,0,16.90039,22,0.7089844
239,0.64746094,0.6237112,0.6020067,0,0.0069491905,0,16.879883,22,0.7080078
240,0.6464844,0.6233158,0.6006711,0,0.0069491905,0,16.863281,22,0.7089844
241,0.6503906,0.6237112,0.5986622,0,0.0069491905,0,16.867188,22,0.7080078
242,0.65625,0.62309146,0.6,0,0.0069491905,0,16.879883,22,0.70703125
243,0.6591797,0.6232285,0.59800667,0,0.0069491905,0,16.871094,22,0.7060547
244,0.6611328,0.62203306,0.5960265,0,0.0069491905,0,16.858398,22,0.7050781
245,0.6669922,0.61931115,0.5907591,0,0.0069491905,0,16.858398,22,0.70410156
246,0.67089844,0.61691964,0.58278143,0,0.0069491905,0,16.87207,22,0.7050781
247,0.6767578,0.6149527,0.5808581,0,0.0069491905,0,16.890625,22,0.70410156
248,0.67871094,0.61590713,0.58471763,0,0.0069491905,0,16.873047,22,0.7060547
249,0.6826172,0.61703146,0.5874587,0,0.0069491905,0,16.874023,22,0.70410156
250,0.6845703,0.61703146,0.5808581,0,0.0069491905,0,16.886719,22,0.70410156
251,0.68359375,0.6166191,0.57615894,0,0.0069491905,0,16.888672,22,0.7050781
252,0.6845703,0.61703146,0.57425743,0,0.0069491905,0,16.895508,22,0.70410156
253,0.6904297,0.61530054,0.57236844,0,0.0069491905,0,16.902344,22,0.703125
254,0.6953125,0.6131829,0.5690789,0,0.0069491905,0,16.91504,22,0.703125
255,0.69628906,0.6114931,0.5672131,0,0.0069491905,0,16.942383,22,0.70214844
256,0.6972656,0.61012477,0.56677526,0,0.0069491905,0,16.927734,22,0.7001953
257,0.7011719,0.61012477,0.5635179,0,0.0069491905,0,16.926758,22,0.7001953
258,0.70703125,0.6096953,0.5588235,0,0.0069491905,0,16.961914,22,0.7011719
259,0.7089844,0.6101248,0.55700326,0,0.0069491905,0,16.978516,22,0.7001953
260,0.7128906,0.61097544,0.55987054,0,0.0069491905,0,16.987305,22,0.6982422
261,0.7167969,0.6113966,0.5612903,0,0.0069491905,0,16.979492,22,0.6972656
262,0.7246094,0.61108655,0.5612903,0,0.0069491905,0,16.981445,22,0.6972656
263,0.7294922,0.60915107,0.5580645,0,0.0069491905,0,16.957031,22,0.6972656
264,0.7314453,0.6081362,0.5562701,0,0.0069491905,0,17.001953,22,0.69628906
265,0.73535156,0.60811013,0.5576923,0,0.0069491905,0,17.00293,22,0.6953125
266,0.7363281,0.6083834,0.55910546,0,0.0069491905,0,17.004883,22,0.69433594
267,0.7373047,0.6088075,0.5573248,0,0.0069491905,0,16.976563,22,0.6933594
268,0.7441406,0.6088075,0.55414015,0,0.0069491905,0,16.956055,22,0.6933594
269,0.7451172,0.6088075,0.55414015,0,0.0069491905,0,16.985352,22,0.6933594
270,0.75683594,0.6074374,0.5492064,0,0.0069491905,0,17.003906,22,0.6923828
271,0.7597656,0.6078618,0.5506329,0,0.0069491905,0,17.039063,22,0.69140625
272,0.76660156,0.6078421,0.5506329,0,0.0069491905,0,17.009766,22,0.69140625
273,0.77246094,0.6094883,0.5534591,0,0.0069491905,0,17.00293,22,0.6894531
274,0.7753906,0.6094883,0.5534591,0,0.0069491905,0,17.046875,22,0.6894531
275,0.7783203,0.61031365,0.55625,0,0.0069491905,0,17.044922,22,0.6875
276,0.78027344,0.61039263,0.5576324,0,0.0069491905,0,17.067383,22,0.68652344
277,0.78027344,0.61039263,0.5576324,0,0.0069491905,0,17.064453,22,0.68652344
278,0.78808594,0.6089854,0.55590063,0,0.0069491905,0,17.09082,22,0.6855469
279,0.7871094,0.6089854,0.55279505,0,0.0069491905,0,17.106445,22,0.6855469
280,0.7871094,0.60698617,0.5496894,0,0.0069491905,0,17.121094,22,0.6855469
281,0.78808594,0.60862595,0.55246913,0,0.0069491905,0,17.114258,22,0.68359375
282,0.7919922,0.6088214,0.5538462,0,0.0069491905,0,17.157227,22,0.6826172
283,0.7949219,0.6088214,0.5476923,0,0.0069491905,0,17.114258,22,0.6826172
284,0.79785156,0.6076669,0.54012346,0,0.0069491905,0,17.143555,22,0.68359375
285,0.80371094,0.60753185,0.54012346,0,0.0069491905,0,17.177734,22,0.68359375
286,0.8154297,0.6060743,0.537037,0,0.0069491905,0,17.15918,22,0.68359375
287,0.82128906,0.60475475,0.5353846,0,0.0069491905,0,17.169922,22,0.6826172
288,0.8251953,0.6037565,0.5351682,0,0.0069491905,0,17.15039,22,0.68066406
289,0.82714844,0.6044382,0.5365854,0,0.0069491905,0,17.134766,22,0.6796875
290,0.8300781,0.60526913,0.53939396,0,0.0069491905,0,17.134766,22,0.6777344
291,0.8359375,0.6061085,0.5377644,0,0.0069491905,0,17.14746,22,0.6767578
292,0.8417969,0.60526913,0.53636366,0,0.0069491905,0,17.136719,22,0.6777344
293,0.8486328,0.60464627,0.53614455,0,0.0069491905,0,17.185547,22,0.67578125
294,0.8515625,0.6036734,0.53614455,0,0.0069491905,0,17.1875,22,0.67578125
295,0.8544922,0.6036734,0.53313255,0,0.0069491905,0,17.175781,22,0.67578125
296,0.85546875,0.6040874,0.5345345,0,0.0069491905,0,17.169922,22,0.6748047
