%  label: Fitness-sharing, 17/03/23 00-10-39
%  population_size: 2048
%  mutation_rate: 0.45
%  max_generations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0
%  cuck_rate: 0.15
%  threads: 8
%  num_demes: 4
%  migration: 0.1
%  use_viscosity: true
%  outregs: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd

ITERATION,AVG-GEN,AVG-FIT,AVG-ABFIT,AVG-CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
163,0.17285156,0.45307308,0.45307308,0.2840909,0,0.105648935,0.105648935,0,16.235352,7,0.87109375
164,0.17480469,0.45293787,0.45293787,0.28195488,0,0.105648935,0.105648935,0,16.229004,7,0.8701172
165,0.17578125,0.44999662,0.44999662,0.2781955,0,0.105648935,0.105648935,0,16.22705,7,0.8701172
166,0.17578125,0.4491264,0.4491264,0.27715355,0,0.105648935,0.105648935,0,16.22168,7,0.8696289
167,0.17626953,0.44795668,0.44795668,0.27509293,0,0.105648935,0.105648935,0,16.226074,7,0.86865234
168,0.1772461,0.446829,0.446829,0.27407408,0,0.105648935,0.105648935,0,16.222656,7,0.86816406
169,0.17822266,0.44755042,0.44755042,0.27675277,0,0.105648935,0.105648935,0,16.218262,7,0.8676758
170,0.17919922,0.44752312,0.44752312,0.2757353,0,0.105648935,0.105648935,0,16.213379,7,0.8671875
171,0.18017578,0.44831097,0.44831097,0.2747253,0,0.105648935,0.105648935,0,16.212402,7,0.8666992
172,0.18017578,0.44744235,0.44744235,0.27272728,0,0.105648935,0.105648935,0,16.223145,7,0.86572266
173,0.18115234,0.44634104,0.44634104,0.27173913,0,0.105648935,0.105648935,0,16.220215,7,0.8652344
174,0.18164063,0.4458002,0.4458002,0.27075812,0,0.105648935,0.105648935,0,16.23877,7,0.8647461
175,0.18359375,0.44626495,0.44626495,0.2733813,0,0.105648935,0.105648935,0,16.231445,7,0.8642578
176,0.18554688,0.44626495,0.44626495,0.2733813,0,0.105648935,0.105648935,0,16.234375,7,0.8642578
177,0.1875,0.44913045,0.44913045,0.27857143,0,0.105648935,0.105648935,0,16.215332,7,0.86328125
178,0.18945313,0.447281,0.447281,0.27598566,0,0.105648935,0.105648935,0,16.208496,7,0.86376953
179,0.19140625,0.44783798,0.44783798,0.27402136,0,0.105648935,0.105648935,0,16.203125,7,0.86279297
180,0.19335938,0.4467349,0.4467349,0.26950353,0,0.105648935,0.105648935,0,16.180664,7,0.8623047
181,0.19433594,0.44620568,0.44620568,0.26760563,0,0.105648935,0.105648935,0,16.177734,7,0.8613281
182,0.1953125,0.44516057,0.44516057,0.26666668,0,0.105648935,0.105648935,0,16.186035,7,0.86083984
183,0.19628906,0.44514298,0.44514298,0.26573426,0,0.105648935,0.105648935,0,16.189453,7,0.86035156
184,0.19677734,0.44394675,0.44394675,0.2638889,0,0.105648935,0.105648935,0,16.181152,7,0.859375
185,0.19970703,0.44520992,0.44520992,0.26643598,0,0.105648935,0.105648935,0,16.172852,7,0.8588867
186,0.2006836,0.44693404,0.44693404,0.2689655,0,0.105648935,0.105648935,0,16.166504,7,0.85839844
187,0.20263672,0.4468874,0.4468874,0.26712328,0,0.105648935,0.105648935,0,16.151367,7,0.8574219
188,0.2055664,0.44610497,0.44610497,0.2662116,0,0.105648935,0.105648935,0,16.150879,7,0.8569336
189,0.20605469,0.4452414,0.4452414,0.26530612,0,0.105648935,0.105648935,0,16.150879,7,0.8564453
190,0.20703125,0.44421846,0.44421846,0.26440677,0,0.105648935,0.105648935,0,16.150879,7,0.85595703
191,0.20800781,0.4431921,0.4431921,0.26262626,0,0.105648935,0.105648935,0,16.152832,7,0.85498047
192,0.20898438,0.44137424,0.44137424,0.26262626,0,0.09977335,0.09977335,0,16.149414,31,0.85498047
193,0.21044922,0.44369635,0.44369635,0.26755852,0,0.09977335,0.09977335,0,16.155273,31,0.8540039
194,0.21142578,0.4442521,0.4442521,0.27,0,0.09977335,0.09977335,0,16.161133,31,0.8535156
195,0.2133789,0.4442384,0.4442384,0.269103,0,0.09977335,0.09977335,0,16.148438,31,0.85302734
196,0.21435547,0.44421124,0.44421124,0.26732674,0,0.09977335,0.09977335,0,16.145508,31,0.8520508
197,0.21435547,0.44412047,0.44412047,0.26644737,0,0.09977335,0.09977335,0,16.13916,31,0.8515625
198,0.2163086,0.44557995,0.44557995,0.26885247,0,0.09977335,0.09977335,0,16.131836,31,0.8510742
199,0.21826172,0.4445952,0.4445952,0.267101,0,0.09977335,0.09977335,0,16.130371,31,0.85009766
200,0.21875,0.44349474,0.44349474,0.26623377,0,0.09977335,0.09977335,0,16.12793,31,0.8496094
201,0.21972656,0.4449771,0.4449771,0.26860842,0,0.09977335,0.09977335,0,16.118652,31,0.8491211
202,0.22167969,0.44478258,0.44478258,0.26537216,0,0.09977335,0.09977335,0,16.101563,31,0.8491211
203,0.22265625,0.44552007,0.44552007,0.26623377,0,0.09977335,0.09977335,0,16.09961,31,0.8496094
204,0.2241211,0.4450731,0.4450731,0.26860842,0,0.09977335,0.09977335,0,16.091797,31,0.8491211
205,0.22509766,0.44358093,0.44358093,0.26774195,0,0.09977335,0.09977335,0,16.094727,31,0.8486328
206,0.22705078,0.4428077,0.4428077,0.26774195,0,0.09977335,0.09977335,0,16.092285,31,0.8486328
207,0.22802734,0.44238722,0.44238722,0.26602563,0,0.09977335,0.09977335,0,16.07666,31,0.84765625
208,0.22998047,0.44123504,0.44123504,0.26433122,0,0.09977335,0.09977335,0,16.079102,31,0.8466797
209,0.23095703,0.44243,0.44243,0.26666668,0,0.09977335,0.09977335,0,16.07959,31,0.8461914
210,0.2319336,0.4424227,0.4424227,0.2658228,0,0.09977335,0.09977335,0,16.067383,31,0.8457031
211,0.2319336,0.4424227,0.4424227,0.2658228,0,0.09977335,0.09977335,0,16.072266,31,0.8457031
212,0.23388672,0.44234133,0.44234133,0.26498422,0,0.09977335,0.09977335,0,16.07373,31,0.84521484
213,0.23583984,0.44233435,0.44233435,0.26415095,0,0.09977335,0.09977335,0,16.066895,31,0.84472656
214,0.2368164,0.44006568,0.44006568,0.2633229,0,0.09977335,0.09977335,0,16.062988,31,0.8442383
215,0.23828125,0.43902406,0.43902406,0.26168224,0,0.09977335,0.09977335,0,16.060547,31,0.8432617
216,0.23925781,0.43799537,0.43799537,0.26006192,0,0.09977335,0.09977335,0,16.04004,31,0.84228516
217,0.2397461,0.44188732,0.44188732,0.2654321,0,0.09977335,0.09977335,0,16.029785,31,0.8417969
218,0.24316406,0.44389948,0.44389948,0.26993865,0,0.09977335,0.09977335,0,16.027832,31,0.8408203
