%  label: cazmud
%  ret_hooks: false
%  population_size: 2048
%  mutation_rate: 0.9
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuck_rate: 0.15
%  threads: 8
%  num_demes: 4
%  migration: 0.05
%  use_viscosity: false
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: false
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,BEST-RUNTIME,UNSEEN,MEAN-DIF-C0,STD-DEV-C0,MEAN-DIF-C1,STD-DEV-C1,MEAN-DIF-C2,STD-DEV-C2
472,0,0.09082031,0.85265386,0.7064676,0.63,0.27,0.93939394,0,0.63,0.63,0,16.40039,19,0.34037408,0.70996094,0.5,0,0.5,0,0.5,0
480,0,0.091796875,0.8521885,0.7058308,0.63,0.27,0.93874174,0,0.63,0.63,0,16.39209,19,0.34037408,0.7050781,0.5,0,0.5,0,0.5,0
488,0,0.09375,0.8511572,0.7042439,0.63,0.27,0.9372937,0,0.63,0.63,0,16.40625,19,0.34037408,0.70410156,0.5,0,0.5,0,0.5,0
496,0,0.095703125,0.85081697,0.7032063,0.63,0.27,0.9382114,0,0.63,0.63,0,16.411621,19,0.34037408,0.69970703,0.5,0,0.5,0,0.5,0
504,0,0.095703125,0.8505672,0.7024307,0.63,0.27,0.9389067,0,0.63,0.63,0,16.413574,19,0.34037408,0.69628906,0.5,0,0.5,0,0.5,0
512,0,0.095214844,0.8501112,0.7012949,0.63,0.27,0.93939394,0,0.63,0.63,0,16.42871,19,0.34037408,0.69384766,0.5,0,0.5,0,0.5,0
520,1,0.096191406,0.85002655,0.7014811,0.63,0.27,0.9386792,0,0.63,0.63,0,16.427246,19,0.34037408,0.6894531,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
528,1,0.095703125,0.84988534,0.70092356,0.63,0.27,0.93915755,0,0.63,0.63,0,16.41211,19,0.34037408,0.6870117,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
536,1,0.09765625,0.849217,0.70001864,0.63,0.27,0.9378882,0,0.63,0.63,0,16.386719,19,0.34037408,0.6855469,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
544,1,0.099121094,0.84885985,0.6990898,0.63,0.27,0.9380805,0,0.63,0.63,0,16.338867,19,0.34037408,0.6845703,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
552,1,0.10205078,0.8480328,0.6978824,0.63,0.27,0.9365325,0,0.63,0.63,0,16.342773,19,0.34037408,0.6845703,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
560,1,0.10449219,0.8470572,0.69566005,0.63,0.27,0.9366306,0,0.63,0.63,0,16.327637,19,0.34037408,0.68408203,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
568,1,0.10546875,0.84675217,0.69482654,0.63,0.27,0.93701994,0,0.63,0.63,0,16.317871,19,0.34037408,0.6821289,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
576,1,0.10888672,0.8449113,0.69335693,0.63,0.27,0.9310873,0,0.63,0.63,0,16.319336,19,0.34037408,0.68115234,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
584,1,0.10986328,0.8432285,0.6909664,0.63,0.27,0.92813456,0,0.63,0.63,0,16.334473,19,0.34037408,0.68066406,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
592,1,0.10986328,0.8419236,0.6887035,0.63,0.27,0.9266055,0,0.63,0.63,0,16.348633,19,0.34037408,0.68066406,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
600,1,0.111816406,0.84117407,0.68728423,0.63,0.27,0.9259819,0,0.63,0.63,0,16.358887,19,0.34037408,0.6767578,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
608,1,0.11376953,0.8405438,0.68598217,0.63,0.27,0.9262048,0,0.63,0.63,0,16.422852,19,0.34037408,0.67578125,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
616,1,0.114746094,0.8400637,0.6855489,0.63,0.27,0.92526156,0,0.63,0.63,0,16.45166,19,0.34037408,0.67333984,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
624,1,0.11767578,0.8394204,0.68513685,0.63,0.27,0.92284864,0,0.63,0.63,0,16.424316,19,0.34037408,0.67089844,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
632,1,0.1171875,0.8388234,0.6835979,0.63,0.27,0.9230769,0,0.63,0.63,0,16.437012,19,0.34037408,0.6699219,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
640,1,0.12109375,0.8367162,0.68191504,0.63,0.27,0.9161765,0,0.63,0.63,0,16.410156,19,0.34037408,0.66796875,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
648,1,0.123535156,0.8359131,0.68022037,0.63,0.27,0.91606367,0,0.63,0.63,0,16.433105,19,0.34037408,0.66259766,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
656,1,0.1274414,0.8358975,0.67977375,0.63,0.27,0.91678625,0,0.63,0.63,0,16.435059,19,0.34037408,0.65966797,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
664,1,0.12939453,0.83588505,0.679617,0.63,0.27,0.9170243,0,0.63,0.63,0,16.454102,19,0.34037408,0.6586914,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
672,1,0.1303711,0.83507514,0.6789589,0.63,0.27,0.9141631,0,0.63,0.63,0,16.435547,19,0.34037408,0.6586914,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
680,1,0.13183594,0.83492506,0.67931855,0.63,0.27,0.91298145,0,0.63,0.63,0,16.39502,19,0.34037408,0.65771484,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
688,1,0.13232422,0.8340956,0.6777402,0.63,0.27,0.91230553,0,0.63,0.63,0,16.370605,19,0.34037408,0.65478516,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
696,1,0.13378906,0.8336861,0.6767309,0.63,0.27,0.91292137,0,0.63,0.63,0,16.407227,19,0.34037408,0.65234375,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
704,1,0.13330078,0.83296925,0.67564327,0.63,0.27,0.9113924,0,0.63,0.63,0,16.385742,19,0.34037408,0.65283203,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
712,1,0.1328125,0.8329972,0.67535996,0.63,0.27,0.9118881,0,0.63,0.63,0,16.378906,19,0.34037408,0.6508789,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
720,1,0.13378906,0.83275676,0.6746262,0.63,0.27,0.91201115,0,0.63,0.63,0,16.396973,19,0.34037408,0.6503906,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
728,1,0.1328125,0.8320015,0.67298645,0.63,0.27,0.9117647,0,0.63,0.63,0,16.398926,19,0.34037408,0.6513672,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
736,1,0.13183594,0.83144534,0.6721991,0.63,0.27,0.9104895,0,0.63,0.63,0,16.439453,19,0.34037408,0.6508789,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
744,1,0.13183594,0.8308714,0.6717533,0.63,0.27,0.90833336,0,0.63,0.63,0,16.435059,19,0.34037408,0.6484375,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
752,1,0.13232422,0.8302147,0.6715481,0.63,0.27,0.9048276,0,0.63,0.63,0,16.436035,19,0.34037408,0.6459961,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
760,1,0.13378906,0.82829994,0.66875684,0.63,0.27,0.90136987,0,0.63,0.63,0,16.425293,19,0.34037408,0.6435547,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
768,1,0.1381836,0.8276619,0.6682298,0.63,0.27,0.89904505,0,0.63,0.63,0,16.478516,19,0.34037408,0.64208984,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
776,1,0.14013672,0.82669914,0.6674831,0.63,0.27,0.895664,0,0.63,0.63,0,16.470215,19,0.34037408,0.63964844,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
784,1,0.14111328,0.82564104,0.6664684,0.63,0.27,0.8924731,0,0.63,0.63,0,16.5083,19,0.34037408,0.63671875,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
792,1,0.1430664,0.8245803,0.66458505,0.63,0.27,0.89110225,0,0.63,0.63,0,16.54541,19,0.34037408,0.6323242,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
800,1,0.14208984,0.82467234,0.6644478,0.63,0.27,0.89021164,0,0.63,0.63,0,16.580566,19,0.34037408,0.6308594,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
808,1,0.14355469,0.8241826,0.66404533,0.63,0.27,0.88845146,0,0.63,0.63,0,16.57666,19,0.34037408,0.6279297,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
816,1,0.14501953,0.82392436,0.6637304,0.63,0.27,0.8871391,0,0.63,0.63,0,16.556152,19,0.34037408,0.6279297,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
824,1,0.14990234,0.82351995,0.66286796,0.63,0.27,0.88671875,0,0.63,0.63,0,16.55371,19,0.34037408,0.625,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
832,1,0.14990234,0.8235841,0.6627696,0.63,0.27,0.88701296,0,0.63,0.63,0,16.565918,19,0.34037408,0.62402344,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
840,1,0.15185547,0.8231868,0.6624615,0.63,0.27,0.88545686,0,0.63,0.63,0,16.50879,19,0.34037408,0.62060547,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
848,1,0.15185547,0.8228142,0.6616529,0.63,0.27,0.8861893,0,0.63,0.63,0,16.509277,19,0.34037408,0.61816406,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
