%  label: Fitness-sharing, 17/03/26 01-41-05
%  population_size: 2048
%  mutation_rate: 0.45
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuckoo_rate: 0.15
%  threads: 4
%  num_demes: 1
%  migration: 0.05
%  use_viscosity: true
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: true
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
115,0,0.13232422,0.57491297,0.66851556,0.4444447,0.6666667,0.2408377,0,0.98847455,0.6666667,1,16.03955,29,0.9067383
116,0,0.13330078,0.5792569,0.66849643,0.4444447,0.6666667,0.24870466,0,0.98847455,0.6666667,1,16.027344,29,0.9057617
117,0,0.13427734,0.57856196,0.668487,0.4444447,0.6666667,0.24742268,0,0.98847455,0.6666667,1,16.019043,29,0.90527344
118,0,0.1352539,0.58072317,0.6684777,0.4444447,0.6666667,0.25128207,0,0.98847455,0.6666667,1,16.013672,29,0.90478516
119,0,0.13623047,0.5821212,0.6684594,0.4444447,0.6666667,0.2538071,0,0.98847455,0.6666667,1,16.005371,29,0.9038086
120,0,0.13720703,0.5834742,0.6684415,0.4444447,0.6666667,0.2562814,0,0.98847455,0.6666667,1,15.998047,29,0.90283203
121,0,0.13769531,0.58277905,0.6684326,0.4444447,0.6666667,0.255,0,0.98847455,0.6666667,1,16.007324,29,0.90234375
122,0,0.13964844,0.5814094,0.6684152,0.4444447,0.6666667,0.25247526,0,0.98847455,0.6666667,1,16.01123,29,0.9013672
123,0,0.13964844,0.58006656,0.6683981,0.4444447,0.6666667,0.25,0,0.98847455,0.6666667,1,16.005371,29,0.9003906
124,0,0.14013672,0.58006656,0.6683981,0.4444447,0.6666667,0.25,0,0.98847455,0.6666667,1,16.003418,29,0.9003906
125,0,0.14208984,0.57940495,0.6683897,0.4444447,0.6666667,0.24878049,0,0.98847455,0.6666667,1,15.999023,29,0.89990234
126,0,0.1430664,0.578101,0.66837305,0.4444447,0.6666667,0.24637681,0,0.98847455,0.6666667,1,15.998047,29,0.8989258
127,0,0.14404297,0.57745844,0.6683649,0.4444447,0.6666667,0.2451923,0,0.98847455,0.6666667,1,15.99707,29,0.8984375
128,0,0.14501953,0.5813603,0.6683488,0.4444447,0.6666667,0.25238097,0,0.98847455,0.6666667,1,16.000977,29,0.89746094
129,0,0.1459961,0.58071136,0.6683408,0.4444447,0.6666667,0.25118482,0,0.98847455,0.6666667,1,15.995117,29,0.89697266
130,0,0.14794922,0.582015,0.6683251,0.4444447,0.6666667,0.2535211,0,0.98847455,0.6666667,1,16.001953,29,0.8959961
131,0,0.14941406,0.5807352,0.66830975,0.4444447,0.6666667,0.2511628,0,0.98847455,0.6666667,1,16.00586,29,0.89501953
132,0,0.15039063,0.58010423,0.6683022,0.4444447,0.6666667,0.25,0,0.98847455,0.6666667,1,15.993164,29,0.89453125
133,1,0.15136719,0.57958776,0.6682872,0.4444447,0.6666667,0.24770643,0,0.98847455,0.6666667,1,15.992676,29,0.8935547
134,1,0.15234375,0.5833406,0.66827255,0.4444447,0.6666667,0.25454545,0,0.98847455,0.6666667,1,16.003418,29,0.8925781
135,1,0.15332031,0.583911,0.6682653,0.4444447,0.6666667,0.25339368,0,0.98847455,0.6666667,1,15.993164,29,0.89208984
136,1,0.15576172,0.58385247,0.66825813,0.43844995,0.6666667,0.25225225,0,0.98847455,0.6666667,1,15.989258,29,0.89160156
137,1,0.15673828,0.5856566,0.66824394,0.43844995,0.6666667,0.2544643,0,0.98847455,0.6666667,1,15.977051,29,0.890625
138,1,0.1586914,0.5855792,0.66823006,0.43844995,0.6666667,0.25221238,0,0.98847455,0.6666667,1,15.957031,29,0.88964844
139,1,0.15966797,0.58739555,0.6682232,0.43844995,0.6666667,0.2555066,0,0.98847455,0.6666667,1,15.960449,29,0.88916016
140,1,0.16064453,0.5909512,0.6682096,0.43844995,0.6666667,0.26200873,0,0.98847455,0.6666667,1,15.977539,29,0.8881836
141,1,0.16210938,0.59026206,0.66820294,0.43844995,0.6666667,0.26086956,0,0.98847455,0.6666667,1,15.987793,29,0.8876953
142,1,0.16308594,0.5902942,0.6682096,0.43844995,0.6666667,0.26200873,0,0.98847455,0.6666667,1,15.984375,29,0.8881836
143,1,0.16503906,0.5884981,0.6682096,0.43844995,0.6666667,0.2576419,0,0.98847455,0.6666667,1,15.977539,29,0.8881836
144,1,0.16552734,0.5885619,0.66820294,0.43844995,0.6666667,0.25652173,0,0.98847455,0.6666667,1,15.981445,29,0.8876953
145,1,0.16748047,0.58846146,0.66818976,0.43844995,0.6666667,0.25431034,0,0.98847455,0.6666667,1,15.974609,29,0.88671875
146,1,0.16845703,0.5883627,0.6681768,0.43844995,0.6666667,0.25213677,0,0.98847455,0.6666667,1,15.955078,29,0.8857422
147,1,0.1694336,0.588314,0.66817033,0.43844995,0.6666667,0.25106382,0,0.98847455,0.6666667,1,15.961426,29,0.8852539
148,1,0.17041016,0.5882178,0.6681577,0.43844995,0.6666667,0.24894515,0,0.98847455,0.6666667,1,15.95459,29,0.88427734
149,1,0.17138672,0.58817035,0.6681515,0.43844995,0.6666667,0.24789916,0,0.98847455,0.6666667,1,15.93457,29,0.88378906
150,1,0.17236328,0.58807653,0.66813916,0.43844995,0.6666667,0.24583334,0,0.98847455,0.6666667,1,15.919434,29,0.8828125
151,1,0.17333984,0.5897325,0.668127,0.43844995,0.6666667,0.24793388,0,0.98847455,0.6666667,1,15.904297,29,0.88183594
152,1,0.17675781,0.5912947,0.66812104,0.43844995,0.6666667,0.2510288,0,0.98847455,0.6666667,1,15.906738,29,0.88134766
153,1,0.17675781,0.5928612,0.6681092,0.43844995,0.6666667,0.25306123,0,0.98847455,0.6666667,1,15.891113,29,0.8803711
154,1,0.17871094,0.5916109,0.66809756,0.43844995,0.6666667,0.25101215,0,0.98847455,0.6666667,1,15.874512,29,0.87939453
155,1,0.1796875,0.5937392,0.66809183,0.43844995,0.6666667,0.25403225,0,0.98847455,0.6666667,1,15.861328,29,0.87890625
156,1,0.18066406,0.59158885,0.6669605,0.21144292,0.38666666,0.252,0,0.21144292,0.38666666,0,15.850586,5,0.8779297
